id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship
EARLY-056	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	e8d053c9 §20.10	Original intentional visual changes require historical classification; all unlisted token/spacing/glyph/ellipsis/minimumcopy/rain/scenario changes were already regressions.	historical_permission_superseded	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: PLANNING_GOAL requires exact immutable Holla observables and does not grant old intentional differences.	Oracle cells/styles/cursor/eventtrace/timing comparison; no regeneration used as proof.	TASK-008;TASK-069	docs/refactoring-plan/history-early-obligations.tsv:57	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
EARLY-057	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	70dacec1 §29.7;7b27732a §29.7 excerpt	RadioGroup caller value and ChipBar Add action were open in Q, later resolved§50; StatusBar hover primitive existed but lacked consumer, later resolved§51.	historical_open_items_superseded	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Do not revive fabricated ItemKey sentinel or claim hovered_part presence was implementation closure.	Join middle-reader original§50–51; actual payloadless AddRequested/NEW and keyed hover consumer tests.	TASK-018;TASK-020;TASK-028	docs/refactoring-plan/history-early-obligations.tsv:58	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
EARLY-058	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	aacb7cb3 A7;30924105 A7	Grid detailed gutter adds real optional GUTTER/MARKER/CHANGE/ROW_NUMBER, rightreserve and partdefaults; keyed header ICON prefix optional and subordinate to explicit overrides.	accepted_later_extension	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Original ninepart rendering preserved bydefault; ICON not wholegrid readiness/status.	Clipped each guttercell; stable source rownumber; reserved contentrect; HEADERslot replaces all; percolumn key reorder.	TASK-022	docs/refactoring-plan/history-early-obligations.tsv:59	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
EARLY-059	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	3ed377e3 §16.4,§16.6,AppendixA	Retain original measured test inventory and distinguish measured Capsule baseline from estimate.	accepted_correction	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: 26showcase,23tablepro,28jackin(22+6chrome),plus10rain/arbiter/clock/scenario; Capsule1080602allocs/74131917B replaces480000estimate.	Join original inventory by test identity not countalone; exact frozenWP0row provenance; present tests may add but not silently remove behavioral coverage.	TASK-066;TASK-067;TASK-071	docs/refactoring-plan/history-early-obligations.tsv:60	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
EARLY-060	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	69fcdcad §10;587c53bd §17examples9–10	TrackAuto without measurement takes1cell besideFlex or equal remainder withoutFlex; measuredvariants use natural sizes; zeroalloc distribute_into serves RowUi columns with16track cap.	accepted_historical_geometry_contract	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Do not change sourceobservable layout silently under PLANNING parity; contract names cannot prove examples use measuredvalues.	Auto/Flex/fixed/multipleAuto/tiny matrix; measured themedglyph widths; example9two-rowProps notclipped; columns cap and zeroalloc.	TASK-012;TASK-015	docs/refactoring-plan/history-early-obligations.tsv:61	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F1	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Props hold configuration only, never values or mutable screen/data borrows.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A01,A47,A80	No data-bearing FieldKind/Form props; single configuration helper with per-phase data.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:2	refines A01,A47,A80; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F2	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Tab order is visible focusable field declaration order; Form never duplicates traversal with cx.focus.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A80	Tab and ShiftTab observe declared registration order.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:3	refines A80; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F3	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Hidden fields register no ring/region and contribute no measure while eligible draft/cursor survives.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A81	Hide/show retains draft; hidden no geometry; later removal/type/sensitivity invalidation separately covered.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:4	refines A81; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F4	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Field height is pure in FieldSpec, DesignTokens and width; update owns reveal using last-frame area, first-frame absent area documented.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A22,A80	Same measured/drawn height both phases and first-layout reveal case.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:5	refines A22,A80; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F5	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	FormAction carries only IDs/action keys; caller owns values; no values bundle crosses submit.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A80,A85	Exhaustive action payload proof and no secret clone/serialize channel.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:6	refines A80,A85; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F6	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Form draw commits/cancels/validates nothing; blur commit occurs through FocusOut update.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A02,A87	Draw state equality and FocusOut-driven commit test.	TASK-019;TASK-031	docs/refactoring-plan/history-inline-obligations.tsv:7	refines A02,A87; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F7	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	At most one semantic FormAction; declaration-first controls then action-row buttons; remaining outcomes preserve invalidation.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A04,A05,A80	Simultaneous actions resolve first deterministically without losing invalidation.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:8	refines A04,A05,A80; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F8	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Nested Select popup owns its layer lifecycle, independent of draw order; Esc reaches control before outer layer.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A17,A19,A80	Nested popup closes before dialog; no deferred repaint or re-registration hack; apply later popover focus policy.	TASK-017;TASK-018;TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:9	refines A17,A19,A80; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F9	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Form is layer-agnostic composition with decorative background, no own backdrop/frame/trap.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A09,A18,A80	Same Form under bare rect/Panel/Dialog; background does not produce UndeliveredIntent.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:10	refines A09,A18,A80; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F10	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Submit commits active edit, validates visible fields in order, then cross-field rules; first error stored/revealed/focused; success emits submit action.	accepted_clarified_by_ADJ-12	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	ADJ-12 resolves original every-visible wording against incomplete fail-fast implementation; A82	Every visible validator exactly once in order; all safe per-field errors stored; cross only after all pass; first invalid focus/reveal/action; two simultaneous oracle TablePro errors; hidden skip and per-kind commit policy	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:11	refines A82; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F11	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Enter submits only when focused control is neither swallowing typing nor editing; submit chord comes from Action declaration.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A48,A82	Editing/nested input prevents accidental submit; CtrlS action binding route and hint agree.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:12	refines A48,A82; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F12	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	Dirty changes on committed mutation or toggle/choice, not draft keystroke.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A80,A87	Draft then cancel stays clean; commit and immediate value choice become dirty.	TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:13	refines A80,A87; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
INLINE-F13	COMPONENT_ARCHITECTURE.md	27bd918e3a8a0a7fdba14fb10643139340d6281f	FormState/field drafts redact Debug and zeroize secret drafts before discard.	accepted; later amendments apply	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	A85,A86	Secret never appears in Debug/frame; close/cancel/removal lifecycle uses best-effort safe clearing.	TASK-016;TASK-019	docs/refactoring-plan/history-inline-obligations.tsv:14	refines A85,A86; retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-001	docs/audit/api-audit.md:19-38;904-916;1289	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e	Uniform typed actions separate consumption and redraw	accepted direction via owner join	unread	Response; all handlers	unverified	No bool tuple or polled-result parallel protocol	Typed action mapping; consumed without repaint; exact cardinality	TASK-010	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:2	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-002	docs/audit/api-audit.md:1073-1098	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=834aa58e	Focus transition lifecycle removes commit/validation/data mutation from draw	accepted direction	unread	editors; grid; dialogs; menu; select	unverified	Fix phase capabilities and transition delivery across all families	Headless update; shared-state draw twice; focus loss exactly once	TASK-016;TASK-031	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:3	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-003	docs/audit/api-audit.md:40-87;998-1004	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Stable ownership and item identity replace reverse owns/locate scans	accepted amended	unread	Id; hit; collections	unverified	Avoid positional Path and stale frame geometry	Insert/remove/reorder plus click/close/edit identity; collision-kind negative control	TASK-010;TASK-020	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:4	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-004	docs/audit/api-audit.md:151-194;docs/audit/app-audit.md:132-178	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;e81ca17b	Encapsulated hit/focus registration and layer ownership prevent inert bypass and manual reregistration	accepted amended	unread	Ui; overlays; all app modals	unverified	Replace public registry mutation and duplicate placement algorithms	Reverse registration order; nested pointer/keyboard isolation; dismissal focus restore	TASK-010;TASK-017	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:5	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-005	docs/audit/api-audit.md:89-114;196-207	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Scroll state invariants and Unicode text offsets need structural safe interfaces	audit finding; exact fix not accepted by this source	unread	ScrollState; TextBuffer; fuzzy matching	unverified	Validate surviving issue class including casefold-to-original mapping	Grapheme/cell corpus; Turkish dotted I; boundary wheel; no out-of-bounds	TASK-013;TASK-014	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:6	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-006	docs/audit/api-audit.md:116-128	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Runtime restoration, one-shot redraw and reusable session need explicit ownership	accepted direction; hook detail finding	unread	runtime; terminal session	unverified	Check stacked panic hook and partial initialization/restore behavior	Deterministic deadlines; normal/error/panic restoration; repeated session entry	TASK-009	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:7	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-007	docs/audit/api-audit.md:130-168;1143-1162	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e	Contextual semantic surfaces replace raw background parameters and color-equality lift	accepted amended	unread	theme; Panel; every component	unverified	Inherited surface plus custom duplicate colors and light theme work	Junie oracle parity; scoped/part/state changes; no token equality inversion	TASK-011	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:8	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-008	docs/audit/api-audit.md:170-180;1067-1069;1166-1205	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e	Shared measurement and safe clipped geometry avoid tiny-rect underflow and stale interactions	accepted amended	unread	layout; field; grid; panel; all widgets	unverified	Preserve minima/fallback behavior through accepted integer layout	0/1-cell rects; resize disappear; no out-of-clip hit/pixels; focus survives by contract	TASK-012	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:9	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-009	docs/audit/api-audit.md:258-349	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Brand/chip/choice use shared presentation and roving/field mechanics	proposal homes; accepted broad dispositions	unread	Brand; ChipBar; Choice; Button	unverified	Map each old family explicitly; overflowing chip bar remains reachable	Full-width overflow; disabled/readonly distinctions; oracle marker/bracket geometry	TASK-018;TASK-020;TASK-027	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:10	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-010	docs/audit/api-audit.md:353-429;634-655;723-745	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Completion picker select menus compose overlays/collections; dialog body open	accepted amended	unread	Completion; Picker; Select; Menu; Dialog	unverified	Functional scrolling and typed actions; retain nontrapping Select final policy	Long option list; scrollbar drag; owner focus; nested Esc and click-outside	TASK-018;TASK-023;TASK-024	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:11	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-011	docs/audit/api-audit.md:433-447;613-630;883-898	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Diff over generic viewport; ScrollPanel absorbed; explicit derived layout lifecycle	accepted amended	unread	DiffView; TextViewport; Panel	unverified	No duplicate scroll engine or draw-time content replacement	Unified/review resize; follow/selection retention; window scaling	TASK-021;TASK-026	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:12	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-012	docs/audit/api-audit.md:465-472;1006-1010;docs/audit/app-audit.md:295-318	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e;e81ca17b	Data-driven commands unify key handling hints and menu actions	accepted amended	unread	keymap; field_common; menus; app chords	unverified	No key resynthesis by label; preserve component-specific commit/cancel policies	Remap updates hints; editing suppression; keyboard/mouse same domain action	TASK-028;TASK-030	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:13	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-013	docs/audit/api-audit.md:476-511;798-817	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	One generic grid; SQL values pending undo validation commit belong in TablePro	accepted amended K	unread	Grid; TablePro adapter; old DataTable	unverified	Read-only model needs no editor trait; preserve all domain operations	Edit/cycle/validate/sort/filter/FK/preview/save/undo plus readonly compile fixture	TASK-022;TASK-060	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:14	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-014	docs/audit/api-audit.md:528-549;842-857	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Shared editor core and field decoration; closure validators and explicit controlled sync	accepted amended J/K	unread	TextInput; TextArea; CodeEditor; Form	unverified	No correlated public state; no draw-time validation; per-phase borrowing	Commit/cancel/blur/paste Unicode; invalid retains draft; first-error focus	TASK-016	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:15	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-015	docs/audit/api-audit.md:515-524;553-562;675-719;764-794	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Unify static/interactive props, priority strips and component hint metadata	accepted direction	unread	DescriptionList; StatusBar; HintBar; Steps	unverified	No second drop algorithm or independently painted shortcut text	Priority drop oracle; copy/activate actions; last-row hint precedence; hover by item	TASK-027;TASK-028	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:16	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-016	docs/audit/api-audit.md:659-671;749-760;821-879	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Separate generic progress from quota lifecycle; stable Tabs and keyboard SplitPane	accepted direction; exact homes owner governed	unread	Spinner; Progress; Meter; SplitPane; Tabs; Tree	unverified	Domain quota/tab/PTY policy stays app-owned; all catalog families mapped	Keyed reorder/close; keyboard and drag resize; supported statuses and glyph parity	TASK-012;TASK-020;TASK-029	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:17	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-017	docs/audit/api-audit.md:1102-1139;docs/audit/app-audit.md:11-20	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=834aa58e;568e1ef6;9df371d5	Secret exposure assertions distinguish transient value from persisted suffix	amended explicitly	unread	Secret; TextInput; Jackin environment/accounts	unverified	Masked input enters pending workspace only after valid key and Save; m stays masked	No full raw secret in frames/debug/actions; deliberate final-four persisted mask; cancel lifetime	TASK-016;TASK-052;TASK-053	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:18	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-018	docs/audit/api-audit.md:1209-1280	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=834aa58e	Historical tests omit purity custom theme mono tiny rect secrets nested identity/performance	historical evidence	unread	conformance; harness; catalog	unverified	Close actual obligations beyond historical counts; no inherited pass	Named tests executed nonzero; immutable oracle; actual action/state/frame assertions	TASK-031;TASK-066;TASK-071	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:19	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-019	docs/audit/app-audit.md:97-334	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=e81ca17b	Applications duplicate focus/pointer machines child-ID routing geometry readback and generic controls	accepted direction; site findings historical	unread	Showcase; TablePro; Jackin app shell/screens	unverified	Replace enabling glue with library-owned interaction while domain remains app	Press/release/doubleclick/wheel; no app owns/locate or re-registration; domain outcomes preserved	TASK-065	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:20	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-020	docs/audit/app-audit.md:337-363	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=e81ca17b;acceptance=a156054d;accepted23=7b27732a:COMPONENT_ARCHITECTURE.md:3927-3954	23 app-side reusable-control dispositions fixed by accepted architecture §18.3, with current later API amendments	accepted dispositions; later exact API amendments and immutable UI oracle govern	unread	NavList; forms; help; picker chain; layout; request bus	unverified	Prove each of the23 accepted move/compose/split/keep-domain dispositions with its responsible component and actual app callers; bind later API supersession explicitly; #22 moves only generic Cx services, never domain Request/Go/Status; no fs/Git/1Password/SQL/route vocabulary promoted	Finite23 source-disposition table plus production ownership and public-composition witnesses per item; negative cases reject app-local generic control loops and library-owned product request enums; immutable oracle proves unchanged app effects and cells	TASK-065;TASK-066	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:21	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-021	docs/audit/app-audit.md original:408-567	e81ca17b	Product journeys and stable test addressing survive migration	historical preservation evidence	unread	all three apps; harness	unverified	Preserve Showcase editing/nav; TablePro safe SQL/history; Jackin eight scenarios/arbiter/accounts/Capsule	Oracle key+mouse+resize domain actions and full cells; virtual clock; secret amendments	TASK-066;TASK-069;TASK-071	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:22	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-022	docs/audit/app-audit.md:633-671	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=e81ca17b	Deterministic motion/effects preserved while semantic theme replaces palette reversal	accepted direction	unread	Jackin rain; layer painting; motion	unverified	Keep pacing seed skip hold handoff and resize oracle states	Full/Reduced/Paused frames; duplicate-color theme; ANSI/Mono; actual paint provenance	TASK-009;TASK-051;TASK-054;TASK-055	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:23	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-023	docs/audit/architecture-research.md:118-126;194-284;932-955	e81ca17b	Normal immediate show update+draw with ephemeral props	rejected; superseded	unread	component lifecycle	unverified	Never resurrect show to avoid explicit phase work	Retained props; data per phase; Cx no buffer; Ui draw no semantic writes	TASK-065	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:24	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-024	docs/audit/architecture-research.md:132-154;344-454	e81ca17b	HashedId/debug registry and whole-key reconciliation sketches	amended/superseded	unread	Id; collections	unverified	Structural identity plus cheap change-aware reconciliation	Same-index kind collision; reorder action; 100k versus1k dispatch/draw	TASK-010;TASK-020	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:25	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-025	docs/audit/architecture-research.md:553-862	e81ca17b	Concrete data recipes scopes and typed Inherit/Set/Clear patches	accepted direction; exact precedence amended	unread	theme recipes; patch; Ui	unverified	Honor family/variant state ordering neutral coverage and explicit Clear	Contrasting-role precedence corpus; merge laws; neutral custom mono; generation negative control	TASK-011	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:26	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-026	docs/audit/architecture-research.md:631-666	e81ca17b	Exhaustive arbitrary-theme downgrade with noncolor fallback	accepted amended ANSI16	unread	theme downgrade; glyph recipes	unverified	Preserve categorical legacy palette; visible Mono disabled text; supported-state semantics	Default/custom all4levels; full cell oracle; DarkGray correction; actual glyph/modifier differences	TASK-011	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:27	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
HAR-027	docs/audit/architecture-research.md:687-725;1053	e81ca17b	SmallVec runtime sorting and hot-path complexity claims	rejected/amended implementation sketches	unread	recipes; style cache; allocator	unverified	Use accepted containers sorted rules and measured allocation/probe bounds	No own SmallVec; graph backend exception; real resolution timing/caches	TASK-011;TASK-067	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:28	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md
