parent_scenario	previous_primary	complete_primary	required_application_producers	flow_audit	source_clause	preserved_parent_contract
TP-018	TASK-059	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; Right;cp(expanded_public_navigation);End;cp(lazy_audit_selected);Right;cp(expanding);ticks(1);cp(loading);ticks(2);cp(loaded);Left;cp(collapsed);Home;End;PageUp;PageDown;cp(boundary) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:133,200,332,604;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-019	TASK-059	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; /;type(orders);cp(filtered);Esc;cp(cancelled);/;type(zzzz_no_match);cp(empty);Esc;0;r;cp(refreshed);activate(schema audit);cp(schema_changed) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:604;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:779;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-020	TASK-060	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; Down*5;Enter;cp(orders);Down;Right*2;End;cp(grid_moved) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:165;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-021	TASK-060	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; click(orders explorer object);cp(preview);click(customers explorer object);cp(replaced_preview);click(customers explorer object);cp(promoted);click(orders explorer object);cp(new_preview) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:428,968;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-022	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; cp(explorer);Ctrl+T;cp(editor);0;cp(reopened);Tab until query editor;cp(closed);Ctrl+B;cp(hidden);Ctrl+B;cp(shown) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:1208;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:732	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-023	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset Q(SELECT * FROM orders LIMIT 5); z;cp(editor_max);Esc;Ctrl+R;ticks(7);focus(result grid);z;cp(results_max);Esc;cp(restored);0;z;cp(explorer_max_case) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:708,779	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-024	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; Ctrl+T repeated 18 times;cp(overflow);[;cp(previous);];cp(next);focus(tab strip);Home;End;Left;Right;cp(strip_navigation);Ctrl+W;cp(closed) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:573;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:625,729	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-025	TASK-063	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset W; Ctrl+T repeated 18 times;Ctrl+G;cp(picker);type(Query 2);cp(filtered);Enter;cp(switched);Ctrl+G;Delete;cp(deleted);Esc;cp(restored) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1283,1444,1546	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-026	TASK-059	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; Ctrl+W until tab count zero;cp(empty);Ctrl+T;cp(new) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:501,1277	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-027	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; Down;Right;PageDown;cp(middle);Ctrl+End;cp(bottom_right);Down;Right;cp(clamped);Ctrl+Home;cp(top_left);Home;End;cp(column_edges) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-028	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; hover(order_number header);cp(header_hover);wheelDown(grid)*12;cp(vscroll);wheelRight(grid)*12;cp(hscroll);drag(vertical scrollbar thumb,bottom);cp(bottom);drag(horizontal scrollbar thumb,right);cp(right) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:1138,1163;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1240	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-029	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; Down;Space;Down;Space;cp(selected);Shift+Down*3;cp(range);y;cp(copy);Y;cp(copy_headers);Esc;cp(cleared) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995,1065,1124	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-030	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; focus(grid);Right; s;cp(ascending);s;cp(descending);s;cp(cleared);click(order_number header);cp(mouse_sorted);S;cp(clear_sort) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:193;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-031	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; cell(1,currency);Enter;Ctrl+L;cp(editing);paste(PARITY-订单);cp(draft);Esc;cp(cancelled);Enter;Ctrl+L;paste(PARITY-订单);Tab;cp(committed_next);BackTab;cp(previous_source_focus); separate fresh T at each ALL size: cell(1,currency);click-cell(1,currency);cp(current_cell_click_edit);Esc;Left;click-cell(1,currency);cp(different_cell_click_move);click-cell(1,currency);cp(repeated_cell_click_edit);Esc | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:930;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:609;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; select-only cell and explicit click-cell semantics; retain source-native tests and original long-notes behavior through TP-037 variants
TP-032	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; cell(1,id);Enter;cp(primary_key);cell(1,total_amount);Enter;paste(not-a-number);Enter;cp(invalid_number);Esc;cell(1,status);Delete;cp(null_request) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530,1085;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:388	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-033	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; +;cp(inserted);Alt+D;cp(duplicated);-;cp(deleted);u;cp(undo_delete);u;cp(undo_duplicate);u;cp(undo_insert) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:659,724,1122	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-034	TASK-063	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; cell(1,currency);Enter;Ctrl+L;paste(PARITY-1);Enter;p;cp(sql_preview);Esc;Ctrl+S;cp(save_gate);focus(acknowledgement);Enter;type(orders);Enter;cp(armed);focus(Save);Enter;cp(saving);ticks(4);cp(still_pending);ticks(1);cp(saved);Ctrl+Y;cp(history_entry) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:609;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:987,1113,1155;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; select-only cell and explicit click-cell semantics; retain source-native tests and original long-notes behavior through TP-037 variants
TP-035	TASK-062	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; cell(1,currency);Enter;Ctrl+L;paste(PARITY-1);Enter;+;Alt+D;-;p;cp(mixed_preview);Esc;Ctrl+S;cp(delete_review);Esc;cp(pending_preserved) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/model.rs:12,959;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:987;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; select-only cell and explicit click-cell semantics; retain source-native tests and original long-notes behavior through TP-037 variants
TP-036	TASK-062	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; cell(1,currency);Enter;Ctrl+L;paste(PARITY-1);Enter;F5;cp(refresh_gate);Esc;cp(kept);U;cp(discard_gate);focus(Discard);Enter;cp(discarded);F5;cp(refreshed) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1797;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; select-only cell and explicit click-cell semantics; retain source-native tests and original long-notes behavior through TP-037 variants
TP-037	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; cell(1,organization_id);Ctrl+];cp(reference_target);Ctrl+O;type(events);Enter;cell(1,properties);Enter;cp(json_viewer);PageDown;cp(viewer_scroll);Esc;cp(focus_restored); separate fresh T at each ALL size: cell(1,notes);cp(notes_keyboard_selected);click-cell(1,notes);cp(notes_actual_click);Enter;cp(notes_actual_enter);paste(PARITY-1);cp(notes_paste_no_mutation);Esc | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:818;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:385,2485;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; select-only cell and explicit click-cell semantics; retain source-native tests and original long-notes behavior through TP-037 variants
TP-038	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; G;cp(fetch_row);Enter;cp(fetch_status);Down;cp(bottom_boundary) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:799;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1049	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-039	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; Ctrl+F;cp(filter);focus(Value);Enter;type(1);Tab;click(Add filter);cp(chip);click(chip label);cp(edit);focus(Value);Enter;Ctrl+L;paste(2);Tab;click(Cancel);cp(original);click(chip label);focus(Value);Enter;Ctrl+L;paste(2);Tab;click(Update filter);cp(updated) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1372,1657,1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; source Filter field Tab retains modal for named buttons; Enter early-Apply branch retained in TP-040
TP-040	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; Ctrl+F;select(Column,total_amount);select(Operator,between);cp(between);focus(Value);Enter;Ctrl+L;paste(10);Tab;focus(and);Enter;Ctrl+L;paste(20);cp(upper_paste_ignored);type(20);cp(upper_typed);Tab;click(Add filter);cp(ranged);Ctrl+F;select(Column,status);select(Operator,is NULL);cp(no_value);click(Add filter);cp(null_filter); separate fresh T: Ctrl+F;select(Column,total_amount);select(Operator,between);focus(Value);replace(10);cp(lower_enter_applied_early) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:42;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:2345;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; retain upper paste no-op, typed upper value and separate original lower-Enter early Apply
TP-041	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; Ctrl+F;select(Column,id);focus(Value);Enter;Ctrl+L;paste(not-number);Tab;click(Add filter);cp(invalid_value_oracle);Esc;Ctrl+F;focus(Value);Enter;Ctrl+L;paste(999999999);Tab;click(Add filter);cp(no_rows);F;cp(reset) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:478;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; retain source nonnumeric filter acceptance and Filter field Tab before named Add
TP-042	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; cell(1,status);f;cp(cell_prefill);click(Add filter);Ctrl+F;select(Column,id);focus(Value);Enter;Ctrl+L;paste(1);Tab;click(Add filter);cp(all);cp(chip_focus_inventory);click(chips lead);cp(any);Enter;cp(chip_editor_not_lead);Esc;Space;cp(disabled);Delete;cp(removed);X;cp(cleared) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:702;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:164,478;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:729-756,1061-1080;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/chips.rs:76-77,88-145,245	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; preserve explicit lead pointer/group-keyboard routing and absent lead/individual/clear-all focus targets
TP-043	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; Ctrl+D;cp(columns);focus(structure tabs);Right;Enter;cp(indexes);Right;Enter;cp(foreign_keys);Right;Enter;cp(ddl);PageDown;End;cp(ddl_bottom);Ctrl+D;cp(data) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:535,759;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:245	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-044	TASK-060	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset T; click(Structure mode);click(Indexes structure tab);hover(Name header);click(Name header);cp(sorted);wheelDown(structure)*8;cp(scrolled);+;-;Alt+D;cp(read_only_noop);click(Data mode);cp(data) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:702,1040;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-045	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset Q(SELECT id, order_number\nFROM orders\nWHERE id > 10;); cp(nav);i;End;Enter;paste(-- 文本 é 👩‍💻);cp(edit);Esc;Ctrl+F;type(orders);cp(find);Enter;cp(match);Esc;cp(find_closed);Ctrl+Up;cp(split_up);Ctrl+Down;cp(split_down) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:972,1333;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:695,759	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-046	TASK-061	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset Q(SELECT * FROM orders LIMIT 5;); i;Home;Shift+End;cp(selection);paste(SELECT id FROM customers LIMIT 2;);cp(replaced);Ctrl+Z;cp(undo);Ctrl+Y;cp(history_global_chord);Esc;cp(nav) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1333;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:584	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-047	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset Q(); i;type(SELECT * FROM ord);cp(auto);Down;cp(selected);Enter;cp(accepted);type( WHERE );Ctrl+Space;cp(manual);Esc;cp(dismissed);Esc;cp(nav) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:307;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1233,1333;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/model.rs:567	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-048	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset Q(); i;type(SELECT o. FROM orders o);Home;Right*9;Ctrl+Space;cp(alias);hover(completion candidate);cp(hover);click(completion candidate);cp(accepted);Esc;Ctrl+F;cp(find_no_popup_leak) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/model.rs:478,567;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1444	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-049	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset Q(); Ctrl+R;cp(nothing);i;type(SELECT * FROM orders LIMIT 5;);Esc;Ctrl+R;cp(running0);ticks(3);cp(running3);Ctrl+R;cp(already_running);ticks(4);cp(rows) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:818;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1053,1099	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-050	TASK-061	TASK-063	TASK-058;TASK-059;TASK-060;TASK-061;TASK-062;TASK-063	Preset QL(SELECT id FROM orders LIMIT 2;\nSELECT nope FROM orders;\nSELECT id FROM customers LIMIT 2;); Alt+R;cp(batch_start);ticks(7);cp(first_complete);ticks(5);cp(second_failed);ticks(10);cp(stopped);Ctrl+Y;cp(history) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1028,1099;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:818	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-051	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset QL(SELECT id FROM orders LIMIT 2;\nSELECT id FROM customers LIMIT 3;); i;Home;Ctrl+Home;Ctrl+R;cp(first_running);ticks(7);cp(first_rows);Esc;Down;Home;Shift+End;Ctrl+R;ticks(7);cp(selection_rows) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1028	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-052	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset QL(SELECT nope FROM orders); Ctrl+R;ticks(7);cp(unknown_column);i;replace(SELEC broken);Esc;Ctrl+R;ticks(7);cp(parse_error);i;type(x);cp(diagnostic_cleared) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:351;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1099	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-053	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset Q(SELECT * FROM orders); Ctrl+R;ticks(3);Esc;cp(cancelled);Ctrl+R;ticks(2);Ctrl+C;cp(ctrl_c_cancelled);ticks(10);cp(no_late_result) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:366;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1080	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-054	TASK-061	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset Q(SELECT * FROM orders LIMIT 5); Ctrl+R;ticks(7);focus(result tabs);p;cp(pinned);Ctrl+R;ticks(7);cp(retained);focus(result tabs);Left;Enter;cp(active_first);.;cp(unpinned);x;cp(closed) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:1053,1179,1198,1216,1333	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
